character,dialog
Harry Potter,Knight to E5.
Harry Potter,"Happy Christmas, Ron.  What are you wearing?"
Harry Potter,I-I've got presents?
Harry Potter,Your father left this in my possession before he died. It is time it was returned to you. Use it well.
Harry Potter,It's some kind of cloak.
Harry Potter,My body's gone!
Harry Potter,I'm invisible?
Harry Potter,There was no name. It just said use it well.
Harry Potter,Famous fire eaters...15th Century Fiends...Flamel...Nicholas Flamel...where are you?
Harry Potter,Mum?  Dad?
Harry Potter,"Ron! You've really got to see this! Ron! You've got to see this!  Ron, Ron, come on. Get out of bed!"
Harry Potter,"There's something you've got to see. Now, come on!"
Harry Potter,"Come on. Come. Come look, it's my parents!"
Harry Potter,"Look in properly. Go on. Stand there. There. You see them, don't you? Thats my dad"
Harry Potter,How can it? Both my parents are dead.
Harry Potter,No.
Harry Potter,No.
Harry Potter,"So, then it shows us what we want? Whatever we want?"
Harry Potter,"Hi, Hedwig."
Harry Potter,Malfoy.
Harry Potter,I found him!
Harry Potter,Go on.
Harry Potter,I knew the name sounded familiar. I read it on the train that day.
Harry Potter,The what?
Harry Potter,Shh!
Harry Potter,Hagrid!
Harry Potter,We know about the Philosopher's Stone!
Harry Potter,We think Snape's trying to steal it.
Harry Potter,"Hagrid, we know he's after the Stone. We just don't know why."
Harry Potter,What?
Harry Potter,Wait a minute.  One of the teachers?
Harry Potter,"Uh, Hagrid, what exactly is that?"
Harry Potter,Norbert?
Harry Potter,Malfoy.
Harry Potter,Hagrid always wanted a dragon. He told me so the first time I met him.
Harry Potter,I don't understand. Is that bad?
Harry Potter,50?!
Harry Potter,"Hagrid, what's that?"
Harry Potter,"If I didn't know better, Draco, I'd say you were scared."
Harry Potter,"What is it, Fang?"
Harry Potter,But what was that thing you saved me from?
Harry Potter,But who would choose such a life?
Harry Potter,Do you mean to say...that that thing that killed the unicorn...that was drinking its blood...that was Voldemort?
Harry Potter,The Philosopher's Stone.
Harry Potter,"But he's weak. He's living off the unicorns. Don't you see? We had it wrong! Snape doesn't want the Stone for himself; he wants the Stone for Voldemort. With the Elixir of Life, Voldemort will be strong again. He'll... he'll come back."
Harry Potter,"I think if he'd had the chance, he might've tried to kill me tonight."
Harry Potter,My scar. It keeps burning.
Harry Potter,Not like this.
Harry Potter,I think it's a warning. It means dangers coming. Uhh!  Oh. Of course!
Harry Potter,"Don't you think it's a bit odd that what Hagrid wants more than anything is a dragon, and a stranger shows up and just happens to have one?  I mean, how many people wander around with dragon eggs in their pockets? Why didn't I see it before? Hagrid, who gave you the dragon egg?  What did he look like?"
Harry Potter,"The stranger, though, you and he must have talked."
Harry Potter,And did he seem interested in Fluffy?
Harry Potter,"We have to see Professor Dumbledore, immediately!"
Harry Potter,He's gone?! Now? But this is important! It's about...the Philosopher's Stone.
Harry Potter,Someone's going to try and steal it.
Harry Potter,"That was no stranger Hagrid met in the village. It was Snape, which means he knows how to get past Fluffy."
Harry Potter,We go down the trapdoor. Tonight.
Harry Potter,Trevor.
Harry Potter,"Now, Neville, listen. We were"
Harry Potter,Let's go.  Sorry.
Harry Potter,Snape's already been here. He's put a spell on the harp.
Harry Potter,We have to move its paw.
Harry Potter,"Come on!  Okay. Push!  I'll go first. Don't follow until I give you a sign.  If something bad happens, get yourselves out...Does it seem a bit...quiet?"
Harry Potter,Jump! Go!
Harry Potter,Whoa!  Oh. Ahh!
Harry Potter,Hermione!!
Harry Potter,Hermione! Where are you?!
Harry Potter,"Yeah, yeah, I'm fine."
Harry Potter,Apparently not.
Harry Potter,What?
Harry Potter,"Ron, are you okay?"
Harry Potter,Okay.
Harry Potter,Lucky Hermione pays attention in Herbology.
Harry Potter,I don't know. Sounds like wings.
Harry Potter,"They're not birds, they're keys. And I'll bet one of them fits that door."
Harry Potter,I don't know. Strange.
Harry Potter,There! I see it!  The one with the broken wing!
Harry Potter,It's too simple.
Harry Potter,Catch the key!
Harry Potter,Where are we? A graveyard.
Harry Potter,There's the door.
Harry Potter,Wait a minute.
Harry Potter,"No, Ron! No!"
Harry Potter,He's going to sacrifice himself!
Harry Potter,"RON!  NO! Don't move! Dont forget, we're still playing.  Checkmate.  Take care of Ron. Then, go to the owlery. Send a message to Dumbledore. Ron's right...I have to go on."
Harry Potter,Not as good as you.
Harry Potter,"You?  No. I-it can’t be. Snape, h-he was the one—-"
Harry Potter,"But-but that day, during the Quidditch match, Snape tried to kill me."
Harry Potter,Snape was trying to save me?
Harry Potter,Then-then you let the troll in.
Harry Potter,I-I’m shaking hands with Dumbledore. I’ve won the House Cup.
Harry Potter,Voldemort.
Harry Potter,Never!
Harry Potter,You liar!
Harry Potter,Admirers?
Harry Potter,Ron was here? Is he all right? What about Hermione?
Harry Potter,"But, what happened to the Stone?"
Harry Potter,"But Flamel, he'll die, won't he?"
Harry Potter,"How is it I got the Stone, sir? One minute I was staring in the mirror, and the next..."
Harry Potter,"Does that mean, with the Stone gone, I mean, that Voldemort can never come back?"
Harry Potter,What is it?
Harry Potter,"All right there, Ron?"
Harry Potter,All right. Hermione?
Harry Potter,One minute.
Harry Potter,"Thanks, Hagrid."
Harry Potter,"But Hagrid, we're not allowed to do magic away from Hogwarts. You know that."
Harry Potter,I'm not going home. Not really.
Harry Potter,"I can't let you out, Hedwig. I'm not allowed to use magic outside of school. Besides, if Uncle Vernon…"
Harry Potter,Now you've done it.
Harry Potter,But she's bored! If I could only let outonly let out for an hour or two.
Harry Potter,But I haven't had any messages from any of my friends… not one… all summer.
Harry Potter,"I'll be in my bedroom, making no noise and pretending that I don't exist."
Harry Potter,Who are you?
Harry Potter,"Not to be to be rude or anything, but this isn't a great time for me to have a house elf in my bedroom."
Harry Potter,Why don't you sit down?
Harry Potter,"Dobby, ssh! I'm sorry! I didn't mean to offend you, or anything."
Harry Potter,You can't have met many decent wizards then.
Harry Potter,"Stop, Dobby!"
Harry Potter,"Dobby, shh!"
Harry Potter,"Dobby, please stop!"
Harry Potter,"Stop! Stop, Dobby. Please be quiet! Are you all right?"
Harry Potter,Your family?
Harry Potter,What terrible things? Who's plotting them?
Harry Potter,Ok– I- understand. You can't- say.
Harry Potter,"Dobby! Dobby, put the lamp down."
Harry Potter,Give me the lamp! Dobby stop!
Harry Potter,"Get in there, and keep quiet!"
Harry Potter,I- I was just—
Harry Potter,Sorry.
Harry Potter,"Yes, sir… See why I've got to go back? I don't belong here. I belong in your world, at Hogwarts. It's the only place I've got friends!"
Harry Potter,"Well, I expect they've… been- hang on- how do you know my friends haven't been writing to me?"
Harry Potter,"Give me those, now!"
Harry Potter,"Dobby, get back here!"
Harry Potter,"Dobby, please, no!"
Harry Potter,I can't. Hogwarts is my home!
Harry Potter,Ron! Fred. George. What are you all doing here?
Harry Potter,Ahh- ahh!
Harry Potter,Let go of me!
Harry Potter,Get off!
Harry Potter,I think it's brilliant
Harry Potter,Hello. W-what did I do?
Harry Potter,Raids?
Harry Potter,"Oh, sorry sir. I'm Harry, sir, Harry Potter."
Harry Potter,"Oh, it…"
Harry Potter,"Oh, umm…"
Harry Potter,Floo powder?
Harry Potter,'Diaganilly.'
Harry Potter,"I'm fine, thank you. I- I was just…"
Harry Potter,No! Please!
Harry Potter,Hagrid!
Harry Potter,"I was lost, I— hang on. What were you doing down there, then?"
Harry Potter,"Well, it's great to see you, too!"
Harry Potter,I definitely need to remember that one.
Harry Potter,Thank you. Bye.
Harry Potter,Voldemort killed my parents. He was nothing more than a murderer.
Harry Potter,Let's go.
Harry Potter,Aah!
Harry Potter,Sorry. Lost- lost control of the trolley. Why can't we get through?
Harry Potter,The train leaves at exactly eleven o'clock. We've missed it!
Harry Potter,Maybe we should just go and wait by the car.
Harry Potter,"Ron, I should tell you, most Muggles aren't accustomed to seeing a flying car."
Harry Potter,"Well come on, then. Let's go lower. We need to find the train."
Harry Potter,Now all we need to do is catch up with the train.
Harry Potter,Do you hear that?
Harry Potter,Hold on…
Harry Potter,Aaahhh! Aaahhhh! Aaahhh!
Harry Potter,Wha-aahhh!
Harry Potter,I'm trying. Your hand's all sweaty.
Harry Potter,I think we found the train.
Harry Potter,Up! Up!
Harry Potter,Up! Up! Ron! Mind that tree!
Harry Potter,Ahh!
Harry Potter,Be thankful it's not your neck.
Harry Potter,I don't know.
Harry Potter,Ahh! Ahh! Ahh!
Harry Potter,Aaaahhhh!
Harry Potter,Come on! Go! Fast!
Harry Potter,Ahh!
Harry Potter,"See you, Hedwig. So, a house elf shows up in my bedroom, we can't get through the barrier to platform nine and three-quarters, we almost get killed by a tree… clearly someone doesn't want me here this year."
Harry Potter,Professor Dumbledore. Professor McGonagall.
Harry Potter,You're doomed.
Harry Potter,"Oh- Hi, Colin. Nice to meet you."
Harry Potter,Stop! Stop! Hold still!
Harry Potter,Malfoy?
Harry Potter,"No, Colin! Get out of the way! Let's take him to Hagrid's."
Harry Potter,He'll know what to do.
Harry Potter,Ah! Oh… Okay.
Harry Potter,"Malfoy. He called Hermione, …um, well, I don't- I don't know exactly what it means."
Harry Potter,What's a Mudblood?
Harry Potter,That's horrible!
Harry Potter,Not really.
Harry Potter,What?
Harry Potter,That voice.
Harry Potter,Didn't you hear it?
Harry Potter,Spooky.
Harry Potter,Did you hear it?
Harry Potter,That voice.
Harry Potter,I heard it first in Lockhart's office. And then again just—
Harry Potter,It's moving. I think it's going to kill.
Harry Potter,Strange. I've never seen spiders act like that.
Harry Potter,"Oh, no… It's Filch's cat. It's Mrs. Norris."
Harry Potter,No. No.
Harry Potter,"It's not true sir, I swear. I never touched Mrs. Norris."
Harry Potter,When I said I wasn't hungry. We were heading back to the common room when we found Mrs. Norris.
Harry Potter,Strange?
Harry Potter,"Do you think I should have told them? Dumbledore and the others, I mean?"
Harry Potter,"Well, if there really is a Chamber of Secrets, a-and it really has been opened, then that means---"
Harry Potter,"Well, maybe Ron's right, Hermione. I mean, look at his family. The whole lot of them have been in Slytherin for centuries."
Harry Potter,"Well, how long will it take to make?"
Harry Potter,"A month? But, Hermione, if Malfoy is the Heir of Slytherin, he could attack half the Muggle-borns in the school by then."
Harry Potter,Wood! Look out!
Harry Potter,Thank you.
Harry Potter,"No, I think my- I think my arm's broken."
Harry Potter,"No, not you."
Harry Potter,Ugh!
Harry Potter,Uh!
Harry Potter,Dobby?
Harry Potter,It was you… You stopped the barrier from letting Ron and me through.
Harry Potter,You nearly got Ron and me expelled!
Harry Potter,Your Bludger? You made that Bludger chase after me?
Harry Potter,"You'd better clear off before my bones come back, Dobby, or I might strangle you!"
Harry Potter,I don't suppose you could tell me why you're trying to kill me?
Harry Potter,Why do you wear that thing Dobby?
Harry Potter,Repeat itself? You mean this has happened before?
Harry Potter,"Dobby, stop it! Stop it! Stop, Dobby! Tell me, Dobby. When did this happen before? Who's doing it now?"
Harry Potter,"No, Dobby. Tell me. Who is it?"
Harry Potter,"Thank you, sir."
Harry Potter,You wish.
Harry Potter,Rictusempra!
Harry Potter,Sya- hassa- she. Sya- hasi- heth. Sya- hasi- heth.
Harry Potter,I'm a what?
Harry Potter,"I know. I mean, I accidentally set a python on my cousin Dudley at the zoo once. Uh, once! But, so what? I bet loads of people here can do it."
Harry Potter,What's bad? If I hadn't told that snake not to attack Justin.
Harry Potter,You were there! You heard me!
Harry Potter,I spoke a different language? But- I didn't realize I- how can I speak a language without knowing I can?
Harry Potter,But I'm not… I can't be.
Harry Potter,I'll see you back in the common room.
Harry Potter,No! Mr. Filch! Y-you- you don't understand!
Harry Potter,Professor… I swear I didn't!
Harry Potter,Professor Dumbledore?
Harry Potter,I… I-I was- I was just wondering if you'd put me in the right house.
Harry Potter,You're wrong.
Harry Potter,"Professor! Sir, your bird- there was nothing I could do- he- he just caught fire!"
Harry Potter,"You don't think it was me, Professor?"
Harry Potter,"No, sir. Nothing."
Harry Potter,Crabbe and Goyle.
Harry Potter,"Ron, maybe I should do it?"
Harry Potter,Wingardium leviosa. Here they come.
Harry Potter,Come on. Let's get 'em.
Harry Potter,Ughh!
Harry Potter,Ron!
Harry Potter,We still sound like ourselves. You need to sound more like Crabbe.
Harry Potter,Excellent.
Harry Potter,"Hermione, are you okay?"
Harry Potter,Come on.
Harry Potter,I think the Slytherin common room's this way.
Harry Potter,I'm…
Harry Potter,Ah- um… Reading.
Harry Potter,Uh-huh.
Harry Potter,You're wrong!
Harry Potter,Harry Potter?
Harry Potter,But then you must have some idea who's behind it all.
Harry Potter,It's his… stomachache. Calm down.
Harry Potter,Hair!
Harry Potter,"Hermione, come out. We've got loads to tell you!"
Harry Potter,Hermione? A- are you OK?
Harry Potter,"She should be out of hospital in a few days, when she stops coughing up fur balls… What's this?"
Harry Potter,Looks like Moaning Myrtle's flooded the bathroom.
Harry Potter,Why would I throw something at you?
Harry Potter,"But, who threw it at you, anyway?"
Harry Potter,'Tom Marvolo Riddle.'
Harry Potter,'My name is Harry Potter.'
Harry Potter,'Do you know anything about the Chamber of Secrets?'
Harry Potter,'Can you tell me?'
Harry Potter,Excuse me. Could you tell me what's going on here? Are you Tom Riddle?
Harry Potter,Dumbledore?
Harry Potter,Hagrid! Haagriid!
Harry Potter,Woah!
Harry Potter,It was Hagrid. Hagrid opened the Chanter of Secrets fifty years ago.
Harry Potter,"The monster had killed somebody, Ron. What would any of us have done?"
Harry Potter,No!
Harry Potter,"W- what's that you've got, Hagrid?"
Harry Potter,And they found it. Tom Riddle's diary is gone.
Harry Potter,No.
Harry Potter,"We've got to talk to Hagrid, Ron. I can't believe it's him, but if he did set the monster loose last time, he'll know how to get inside the Chamber of Secrets, and that's a start."
Harry Potter,I think it's time to get my Dad's old cloak out again.
Harry Potter,What's that for?
Harry Potter,"Hagrid, are you okay?"
Harry Potter,Did you hear about Hermione?
Harry Potter,"Look, we have to ask you something. Do you know who's opened the Chamber of Secrets?"
Harry Potter,"Look! Well, come on. Come on, Fang!"
Harry Potter,You heard what Hagrid said; 'Follow the spiders.'
Harry Potter,Shush!
Harry Potter,Come on!
Harry Potter,Don't panic.
Harry Potter,We're friends of Hagrid's. And you? Y- y-you're Aragog aren't you?
Harry Potter,"He's in trouble. Up at the school, there have been attacks. They think it's Hagrid. They think he opened the Chamber of Secrets, like before."
Harry Potter,Then you're not the monster.
Harry Potter,"Shush. But if you're not the monster, then- then what did kill that girl fifty years ago?"
Harry Potter,But have you seen it?
Harry Potter,What?
Harry Potter,"Well, thank you. We'll just…go."
Harry Potter,"One, but it's not powerful enough for all of them."
Harry Potter,Let's go! Arania exumai! Go!
Harry Potter,Whoah!
Harry Potter,Arania exumai!
Harry Potter,Don't mention it. Get us out of here. Now! Come on! Come on! Move faster!
Harry Potter,Aah!
Harry Potter,Go on! Go! Get us in the air.
Harry Potter,Come on! Pull!
Harry Potter,We know one thing. Hagrid never opened the Chamber of Secrets. He was innocent.
Harry Potter,"Wish you were here Hermione. We need you… now, more than ever."
Harry Potter,"Ron, this is why Hermione was in the Library the day she was attacked. Come on!"
Harry Potter,"'Of the many fearsome beasts that roam our land, none is more deadly than the basilisk. Capable of living for hundreds of years, instant death awaits any who meet this giant serpent's eye. Spiders flee before it.' Ron, this is it. The monster in the Chamber of Secrets is a basilisk. That's why I can hear it speak. It's a snake!"
Harry Potter,"Because no one did look it in the eye. Not directly, at least. Colin saw it through his camera. Justin…Justin must have seen the basilisk through Nearly Headless Nick. Nick got the full blast of it- but he's a ghost- he couldn't die again. And Hermione…had the mirror. I bet you anything she was using it to look around corners, in case it came along."
Harry Potter,The water. There was water on the floor that night. She only saw the basilisk's reflection. 'Spiders flee before it.' It all fits!
Harry Potter,"Hermione's answered that, too."
Harry Potter,"Remember what Aragog said, about that girl fifty years ago? She died in a bathroom? What if she never left?"
Harry Potter,"Lockhart may be useless, but he's going to try and get into the Chamber. At least we can tell him what we know."
Harry Potter,"Professor, we have some information for you! Are you going somewhere?"
Harry Potter,You're running away? After all that stuff you did in your books?
Harry Potter,You wrote them!
Harry Potter,You're a fraud! You've just been taking credit for what other wizards have done!
Harry Potter,Don't even think about it.
Harry Potter,To ask you how you died.
Harry Potter,Who was it Myrtle?
Harry Potter,Just like that? How?
Harry Potter,"This is it. This is it, Ron. I think this is the entrance to the Chamber of Secrets."
Harry Potter,Hesha- Hassah.
Harry Potter,"Oh, yes there is! You first."
Harry Potter,All right. Let's go.
Harry Potter,Uh…thanks Myrtle.
Harry Potter,Aaah!
Harry Potter,"Now remember, any sign of movement, close your eyes straightaway."
Harry Potter,This way.
Harry Potter,It's a snakeskin.
Harry Potter,"Ron! Ron, are you ok?"
Harry Potter,You wait here and try and shift some of this rock so we can get back through. I'll go on and find Ginny!
Harry Potter,Hesha- Hassah.
Harry Potter,"Ginny… Ginny! Oh, Ginny, please don't be dead. Wake up. Wake up! Please, wake up!"
Harry Potter,"Tom. Tom Riddle! What do you mean, 'she won't wake?' She's not…?"
Harry Potter,Are you a ghost?
Harry Potter,"She's cold as ice. Ginny, please don't be dead. Wake up! You've got to help me, Tom. There's a basilisk."
Harry Potter,"Give me my wand, Tom."
Harry Potter,"Listen, we've got to go! We've got to save her!"
Harry Potter,No. She couldn't. She wouldn't!
Harry Potter,But why?
Harry Potter,"But, why did you want to meet me?"
Harry Potter,"Hagrid's my friend! And you framed him, didn't you?"
Harry Potter,I'll bet Dumbledore saw right through you.
Harry Potter,"Well, you haven't finished it this time. In a few hours, the Mandrake Draught will be ready, and everyone who was Petrified will be all right again."
Harry Potter,Why do you care how I escaped? Voldemort was after your time.
Harry Potter,You! You're the Heir of Slytherin. You're Voldemort.
Harry Potter,Albus Dumbledore is the greatest sorcerer in the world!
Harry Potter,He'll never be gone! Not as long as those who remain are loyal to him! Fawkes?
Harry Potter,Ginny-
Harry Potter,Ginny…
Harry Potter,"Don't worry. Ginny, you need to get yourself out. Follow the Chamber, and you'll find Ron. You were brilliant, Fawkes. I just wasn't quick enough… Of course! Phoenix tears have healing powers. Thanks! It's alright, Ginny. It's over. It's just a memory."
Harry Potter,"Yes, sir."
Harry Potter,"Yes, sir."
Harry Potter,"It's just… You see, sir I- I couldn't help but notice certain things, certain- certain similarities, between Tom Riddle and me."
Harry Potter,Voldemort transferred some of his powers… to me?
Harry Potter,So the Sorting Hat was right! I should be in Slytherin.
Harry Potter,Because I asked it to.
Harry Potter,Godric Gryffindor.
Harry Potter,Dobby! So this is your master! The family you serve is the Malfoys
Harry Potter,Don't worry. I will be.
Harry Potter,"Sir, I wonder if I could have that?"
Harry Potter,Mr. Malfoy! Mr. Malfoy! I have something of yours.
Harry Potter,"Oh, I think you do, sir. I think you slipped the diary into Ginny Weasley's cauldron, that day at Diagon Alley."
Harry Potter,Open it.
Harry Potter,Just promise me something.
Harry Potter,Never try to save my life again.
Harry Potter,"Well, we had loads of help from you. We couldn't have done it without you."
Harry Potter,"Well, there's no Hogwarts without you, Hagrid."
Harry Potter,Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima. Lumos Maxima!
Harry Potter,"Uncle Vernon, I need you to sign this form."
Harry Potter,Nothing. School stuff.
Harry Potter,I will if she does.
Harry Potter,Yes.
Harry Potter,Okay.
Harry Potter,"Oh, yeah. Yeah. I've been beaten loads of times."
Harry Potter,That's a lie!
Harry Potter,My dad wasn't a drunk!
Harry Potter,Shut up! Shut up!
Harry Potter,No! She deserved what she got! Keep away from me.
Harry Potter,Yeah? Try me.
Harry Potter,I don't care. Anywhere's better than here.
Harry Potter,I fell over.
Harry Potter,I didn't do it on purpose.
Harry Potter,Nothing.
Harry Potter,I didn't.
Harry Potter,The Leaky Cauldron. That's in London.
Harry Potter,But the Muggles. Can't they see us?
Harry Potter,Who is that? That man.
Harry Potter,How did he escape?
Harry Potter,Yeah. Him I've heard of.
Harry Potter,Hedwig.
Harry Potter,"No, thank you. Minister?"
Harry Potter,I don't understand.
Harry Potter,I broke the law. Underage wizards can't use magic at home.
Harry Potter,"The state of things, sir?"
Harry Potter,"Sirius Black, you mean? But what's he got to do with me?"
Harry Potter,Hedwig.
Harry Potter,Egypt. What's it like?
Harry Potter,Mrs. Weasley.
Harry Potter,Good to see you.
Harry Potter,Yes.
Harry Potter,"Yeah, it's all upstairs."
Harry Potter,Everything's there.
Harry Potter,Thank you.
Harry Potter,Mr. Weasley.
Harry Potter,"Yeah, sure."
Harry Potter,Yeah. It should be great.
Harry Potter,"Has this anything to do with Sirius Black, sir?"
Harry Potter,Only that he's escaped from Azkaban.
Harry Potter,Voldemort.
Harry Potter,Sorry.
Harry Potter,And kill me.
Harry Potter,Mr. Weasley... why would I go looking for someone who wants to kill me?
Harry Potter,I didn't mean to blow her up. I just... I lost control.
Harry Potter,I think I was lucky not to be arrested actually.
Harry Potter,Do you think he's really asleep?
Harry Potter,I gotta tell you something.
Harry Potter,Yeah.
Harry Potter,"Thanks, Ron."
Harry Potter,I don't know. Maybe we've broken down.
Harry Potter,Thank you.
Harry Potter,What was that thing that came?
Harry Potter,What happened to me?
Harry Potter,And did either of you two... you know... pass out?
Harry Potter,But someone was screaming. A woman.
Harry Potter,How did he find out?
Harry Potter,Fortuna Major.
Harry Potter,Thank you.
Harry Potter,"She's still doing that after three years. She can't even sing. Exactly. Hey, man. Hey, man. Oh, God. That's awful."
Harry Potter,"Shut up, Malfoy."
Harry Potter,What?
Harry Potter,"Hey, hey, hey!"
Harry Potter,"Brilliant, professor."
Harry Potter,At least Hagrid didn't get fired.
Harry Potter,"But professor I thought if you signed it, then I could..."
Harry Potter,"Forget about it, guys. See you later."
Harry Potter,"Professor, can I ask you something?"
Harry Potter,I did think of Voldemort at first. But then I remembered that night on the train... and the dementor.
Harry Potter,Before I fainted... I heard something. A woman... screaming.
